"gene_id"	"trans_id"	"omega_Fice"	"dN_Fice"	"dS_Fice"
"ENSFALG00000000063"	"ENSFALT00000000068"	0.0014	0.022	15.8481
"ENSFALG00000000067"	"ENSFALT00000000071"	0.1254	0.0175	0.1398
"ENSFALG00000000064"	"ENSFALT00000000072"	0.0303	0.0092	0.3039
"ENSFALG00000000069"	"ENSFALT00000000074"	0.0586	0.0154	0.2633
"ENSFALG00000000072"	"ENSFALT00000000077"	0.0574	0.0023	0.0401
"ENSFALG00000000074"	"ENSFALT00000000080"	0.1228	0.0047	0.0385
"ENSFALG00000000075"	"ENSFALT00000000081"	0.0605	0.0026	0.0431
"ENSFALG00000000077"	"ENSFALT00000000082"	0.3278	0.0185	0.0565
"ENSFALG00000000078"	"ENSFALT00000000083"	0.0876	0.0054	0.0612
"ENSFALG00000000076"	"ENSFALT00000000084"	0.1503	0.0129	0.0857
"ENSFALG00000000079"	"ENSFALT00000000085"	999	0.0266	0
"ENSFALG00000000081"	"ENSFALT00000000086"	0.1792	0.0192	0.1071
"ENSFALG00000000082"	"ENSFALT00000000087"	0.0984	0.0179	0.1823
"ENSFALG00000000080"	"ENSFALT00000000090"	0.1159	0.005	0.0428
"ENSFALG00000000086"	"ENSFALT00000000091"	0.0803	0.0047	0.0579
"ENSFALG00000000084"	"ENSFALT00000000092"	0.4019	0.0276	0.0687
"ENSFALG00000000087"	"ENSFALT00000000093"	0.0754	0.0026	0.0349
"ENSFALG00000000088"	"ENSFALT00000000094"	0.0298	0.0098	0.3298
"ENSFALG00000000089"	"ENSFALT00000000095"	0.2137	0.0119	0.0555
"ENSFALG00000000091"	"ENSFALT00000000099"	1e-04	0	0.0755
"ENSFALG00000000094"	"ENSFALT00000000100"	0.0199	0.0036	0.1816
"ENSFALG00000000095"	"ENSFALT00000000101"	1e-04	0	0
"ENSFALG00000000096"	"ENSFALT00000000102"	1e-04	0	0.1032
"ENSFALG00000000097"	"ENSFALT00000000103"	0.051	0.0016	0.0305
"ENSFALG00000000101"	"ENSFALT00000000107"	0.4718	0.0233	0.0494
"ENSFALG00000000103"	"ENSFALT00000000108"	0.0345	0.0024	0.0695
"ENSFALG00000000104"	"ENSFALT00000000109"	1e-04	0	0.0384
"ENSFALG00000000107"	"ENSFALT00000000119"	0.0574	0.0043	0.0751
"ENSFALG00000000118"	"ENSFALT00000000123"	0.0472	0.004	0.0854
"ENSFALG00000000119"	"ENSFALT00000000125"	0.0219	0.0011	0.0481
"ENSFALG00000000121"	"ENSFALT00000000126"	0.218	0.0048	0.0221
"ENSFALG00000000122"	"ENSFALT00000000127"	0.0089	0.002	0.2217
"ENSFALG00000000115"	"ENSFALT00000000128"	1e-04	0	0.1395
"ENSFALG00000000120"	"ENSFALT00000000129"	1e-04	0	0
"ENSFALG00000000124"	"ENSFALT00000000130"	0.1252	0.009	0.0723
"ENSFALG00000000123"	"ENSFALT00000000134"	0.0415	0.0027	0.0649
"ENSFALG00000000130"	"ENSFALT00000000135"	0.1652	0.0059	0.0355
"ENSFALG00000000132"	"ENSFALT00000000136"	1e-04	0	0.0446
"ENSFALG00000000127"	"ENSFALT00000000139"	0.0232	0.0043	0.1866
"ENSFALG00000000137"	"ENSFALT00000000143"	999	0.0089	0
"ENSFALG00000000139"	"ENSFALT00000000146"	0.0177	0.0016	0.0905
"ENSFALG00000000143"	"ENSFALT00000000147"	0.3008	0.0252	0.0839
"ENSFALG00000000142"	"ENSFALT00000000151"	999	0.0207	0
"ENSFALG00000000138"	"ENSFALT00000000154"	0.1612	0.0137	0.0849
"ENSFALG00000000140"	"ENSFALT00000000155"	0.0685	0.0022	0.0314
"ENSFALG00000000149"	"ENSFALT00000000156"	0.0228	0.0016	0.0689
"ENSFALG00000000152"	"ENSFALT00000000157"	1e-04	0	0.0389
"ENSFALG00000000150"	"ENSFALT00000000158"	0.1494	0.0134	0.0896
"ENSFALG00000000154"	"ENSFALT00000000160"	0.0516	0.0048	0.0925
"ENSFALG00000000158"	"ENSFALT00000000162"	0.0821	0.009	0.1096
"ENSFALG00000000153"	"ENSFALT00000000163"	0.0936	0.0105	0.1123
"ENSFALG00000000155"	"ENSFALT00000000165"	0.5235	0.0229	0.0438
"ENSFALG00000000161"	"ENSFALT00000000166"	0.0612	0.0025	0.0412
"ENSFALG00000000156"	"ENSFALT00000000170"	0.1474	0.0135	0.0917
"ENSFALG00000000162"	"ENSFALT00000000171"	0.2725	0.0228	0.0837
"ENSFALG00000000167"	"ENSFALT00000000174"	0.0295	0.0022	0.074
"ENSFALG00000000169"	"ENSFALT00000000175"	0.0291	0.0055	0.189
"ENSFALG00000000170"	"ENSFALT00000000177"	0.0212	0.0021	0.0971
"ENSFALG00000000171"	"ENSFALT00000000178"	0.4825	0.1606	0.3329
"ENSFALG00000000172"	"ENSFALT00000000180"	0.0538	0.0038	0.0697
"ENSFALG00000000173"	"ENSFALT00000000181"	0.1808	0.0083	0.0461
"ENSFALG00000000164"	"ENSFALT00000000182"	0.0944	0.0078	0.0828
"ENSFALG00000000177"	"ENSFALT00000000183"	0.2839	0.0372	0.1312
"ENSFALG00000000178"	"ENSFALT00000000185"	1e-04	0	0.0287
"ENSFALG00000000179"	"ENSFALT00000000186"	0.1535	0.0022	0.0145
"ENSFALG00000000175"	"ENSFALT00000000187"	0.0536	0.0032	0.0594
"ENSFALG00000000181"	"ENSFALT00000000189"	0.0196	0.0023	0.1159
"ENSFALG00000000183"	"ENSFALT00000000190"	0.1266	0.0078	0.0613
"ENSFALG00000000185"	"ENSFALT00000000191"	0.2468	0.0109	0.0443
"ENSFALG00000000184"	"ENSFALT00000000192"	0.0263	0.0037	0.1392
"ENSFALG00000000186"	"ENSFALT00000000193"	0.5607	0.0363	0.0647
"ENSFALG00000000187"	"ENSFALT00000000195"	0.3802	0.0165	0.0433
"ENSFALG00000000189"	"ENSFALT00000000196"	0.2384	0.0209	0.0875
"ENSFALG00000000191"	"ENSFALT00000000197"	0.2635	0.0126	0.0477
"ENSFALG00000000176"	"ENSFALT00000000198"	0.0155	6e-04	0.037
"ENSFALG00000000192"	"ENSFALT00000000199"	1e-04	0	0.0696
"ENSFALG00000000193"	"ENSFALT00000000200"	0.2268	0.0104	0.0456
"ENSFALG00000000194"	"ENSFALT00000000201"	0.2129	0.0096	0.0449
"ENSFALG00000000195"	"ENSFALT00000000202"	0.3504	0.018	0.0513
"ENSFALG00000000199"	"ENSFALT00000000204"	0.0452	0.0041	0.0916
"ENSFALG00000000202"	"ENSFALT00000000206"	0.0535	0.0043	0.0805
"ENSFALG00000000196"	"ENSFALT00000000207"	0.4194	0.0249	0.0594
"ENSFALG00000000204"	"ENSFALT00000000210"	1e-04	0	0.0507
"ENSFALG00000000206"	"ENSFALT00000000214"	1.1032	0.0277	0.0251
"ENSFALG00000000197"	"ENSFALT00000000217"	0.0714	0.0081	0.1141
"ENSFALG00000000213"	"ENSFALT00000000221"	0.2252	0.0331	0.1469
"ENSFALG00000000216"	"ENSFALT00000000223"	0.0421	0.0027	0.0646
"ENSFALG00000000218"	"ENSFALT00000000225"	0.5344	0.011	0.0207
"ENSFALG00000000217"	"ENSFALT00000000226"	0.1046	0.0196	0.1871
"ENSFALG00000000200"	"ENSFALT00000000227"	0.1121	0.009	0.0801
"ENSFALG00000000220"	"ENSFALT00000000229"	0.1836	0.0688	0.3745
"ENSFALG00000000221"	"ENSFALT00000000230"	0.0225	0.002	0.0891
"ENSFALG00000000223"	"ENSFALT00000000231"	0.1582	0.0074	0.0465
"ENSFALG00000000225"	"ENSFALT00000000233"	0.2386	0.0284	0.1192
"ENSFALG00000000226"	"ENSFALT00000000234"	0.2493	0.0365	0.1466
"ENSFALG00000000229"	"ENSFALT00000000236"	0.0468	0.0064	0.1379
"ENSFALG00000000231"	"ENSFALT00000000238"	0.0549	0.0044	0.0802
"ENSFALG00000000232"	"ENSFALT00000000239"	0.227	0.0331	0.1457
"ENSFALG00000000235"	"ENSFALT00000000242"	0.1753	0.0032	0.0185
"ENSFALG00000000233"	"ENSFALT00000000243"	0.0312	0.0015	0.0481
"ENSFALG00000000236"	"ENSFALT00000000245"	1e-04	0	0.0428
"ENSFALG00000000237"	"ENSFALT00000000246"	0.1762	0.0083	0.047
"ENSFALG00000000230"	"ENSFALT00000000248"	0.0833	0.0063	0.0751
"ENSFALG00000000240"	"ENSFALT00000000250"	1e-04	0	0.0143
"ENSFALG00000000243"	"ENSFALT00000000252"	0.02	0.0013	0.0634
"ENSFALG00000000241"	"ENSFALT00000000254"	0.1443	0.0103	0.0714
"ENSFALG00000000246"	"ENSFALT00000000256"	14.4812	0.0033	2e-04
"ENSFALG00000000251"	"ENSFALT00000000258"	0.1297	0.0164	0.1267
"ENSFALG00000000248"	"ENSFALT00000000260"	0.2041	0.0079	0.0388
"ENSFALG00000000250"	"ENSFALT00000000261"	0.2022	0.0066	0.0328
"ENSFALG00000000245"	"ENSFALT00000000262"	0.0973	0.0113	0.1159
"ENSFALG00000000253"	"ENSFALT00000000263"	0.1513	0.0083	0.055
"ENSFALG00000000256"	"ENSFALT00000000264"	0.3073	0.0237	0.0773
"ENSFALG00000000257"	"ENSFALT00000000265"	0.8597	0.0266	0.0309
"ENSFALG00000000258"	"ENSFALT00000000267"	0.0233	0.0055	0.2354
"ENSFALG00000000255"	"ENSFALT00000000270"	0.089	0.0119	0.134
"ENSFALG00000000261"	"ENSFALT00000000271"	0.5342	0.0183	0.0342
"ENSFALG00000000260"	"ENSFALT00000000272"	0.0113	8e-04	0.0724
"ENSFALG00000000264"	"ENSFALT00000000274"	0.0299	0.0011	0.037
"ENSFALG00000000268"	"ENSFALT00000000279"	0.1055	0.0248	0.2351
"ENSFALG00000000269"	"ENSFALT00000000280"	0.8195	0.0644	0.0786
"ENSFALG00000000271"	"ENSFALT00000000282"	0.4507	0.0393	0.0873
"ENSFALG00000000273"	"ENSFALT00000000283"	0.3935	0.0101	0.0256
"ENSFALG00000000276"	"ENSFALT00000000285"	0.1956	0.0583	0.298
"ENSFALG00000000277"	"ENSFALT00000000286"	0.4341	0.0105	0.0242
"ENSFALG00000000278"	"ENSFALT00000000288"	1e-04	0	0.074
"ENSFALG00000000283"	"ENSFALT00000000293"	0.0159	0.0058	0.3649
"ENSFALG00000000284"	"ENSFALT00000000294"	0.0126	0.0011	0.0858
"ENSFALG00000000274"	"ENSFALT00000000295"	0.1149	0.0111	0.0967
"ENSFALG00000000293"	"ENSFALT00000000303"	0.1589	0.0128	0.0809
"ENSFALG00000000294"	"ENSFALT00000000304"	0.1525	0.0059	0.0385
"ENSFALG00000000290"	"ENSFALT00000000305"	0.1097	0.0181	0.1652
"ENSFALG00000000296"	"ENSFALT00000000307"	1.4249	0.061	0.0428
"ENSFALG00000000298"	"ENSFALT00000000308"	0.0829	0.0056	0.0673
"ENSFALG00000000301"	"ENSFALT00000000310"	0.8612	0.0134	0.0156
"ENSFALG00000000300"	"ENSFALT00000000311"	0.1779	0.0093	0.0522
"ENSFALG00000000302"	"ENSFALT00000000312"	1e-04	0	0.0785
"ENSFALG00000000289"	"ENSFALT00000000315"	0.0442	0.0033	0.0757
"ENSFALG00000000305"	"ENSFALT00000000316"	0.0273	0.0138	0.506
"ENSFALG00000000306"	"ENSFALT00000000317"	0.1445	0.0129	0.0896
"ENSFALG00000000297"	"ENSFALT00000000318"	0.0108	0.0017	0.1546
"ENSFALG00000000310"	"ENSFALT00000000320"	0.1743	0.0157	0.0899
"ENSFALG00000000311"	"ENSFALT00000000322"	0.1624	0.0102	0.0625
"ENSFALG00000000313"	"ENSFALT00000000324"	0.4957	0.0162	0.0327
"ENSFALG00000000314"	"ENSFALT00000000326"	1e-04	0	0.0338
"ENSFALG00000000317"	"ENSFALT00000000327"	0.0759	0.01	0.1315
"ENSFALG00000000319"	"ENSFALT00000000329"	0.8303	0.0307	0.037
"ENSFALG00000000321"	"ENSFALT00000000330"	0.1	0.0401	0.4013
"ENSFALG00000000320"	"ENSFALT00000000331"	0.0734	0.0047	0.0647
"ENSFALG00000000323"	"ENSFALT00000000333"	0.0143	0.0032	0.2257
"ENSFALG00000000325"	"ENSFALT00000000336"	0.1463	0.0202	0.1382
"ENSFALG00000000326"	"ENSFALT00000000340"	0.0326	0.002	0.0602
"ENSFALG00000000336"	"ENSFALT00000000346"	0.0282	0.0016	0.0551
"ENSFALG00000000338"	"ENSFALT00000000348"	0.038	0.0016	0.0428
"ENSFALG00000000332"	"ENSFALT00000000349"	0.0725	0.0105	0.1447
"ENSFALG00000000344"	"ENSFALT00000000354"	0.3657	0.0401	0.1097
"ENSFALG00000000348"	"ENSFALT00000000360"	0.0643	0.0047	0.0734
"ENSFALG00000000353"	"ENSFALT00000000362"	1e-04	0	0.054
"ENSFALG00000000354"	"ENSFALT00000000363"	0.0652	0.003	0.0459
"ENSFALG00000000357"	"ENSFALT00000000366"	0.2731	0.0145	0.0532
"ENSFALG00000000351"	"ENSFALT00000000367"	0.1143	0.0104	0.0912
"ENSFALG00000000358"	"ENSFALT00000000368"	0.5781	0.0395	0.0684
"ENSFALG00000000359"	"ENSFALT00000000369"	0.1724	0.0063	0.0367
"ENSFALG00000000361"	"ENSFALT00000000370"	0.6005	0.0178	0.0296
"ENSFALG00000000347"	"ENSFALT00000000371"	0.0565	0.0035	0.0626
"ENSFALG00000000363"	"ENSFALT00000000372"	1e-04	0	0.0811
"ENSFALG00000000370"	"ENSFALT00000000378"	0.1511	0.0073	0.048
"ENSFALG00000000369"	"ENSFALT00000000379"	13.2922	0	0
"ENSFALG00000000371"	"ENSFALT00000000380"	0.562	0.0365	0.0649
"ENSFALG00000000362"	"ENSFALT00000000381"	0.0306	0.0025	0.0826
"ENSFALG00000000372"	"ENSFALT00000000382"	0.5738	0.0746	0.13
"ENSFALG00000000367"	"ENSFALT00000000383"	0.0212	0.0017	0.0803
"ENSFALG00000000374"	"ENSFALT00000000385"	0.0466	0.0114	0.2452
"ENSFALG00000000376"	"ENSFALT00000000386"	0.0091	0.0017	0.1842
"ENSFALG00000000373"	"ENSFALT00000000389"	0.0746	0.011	0.1473
"ENSFALG00000000379"	"ENSFALT00000000390"	0.03	0.0057	0.1904
"ENSFALG00000000380"	"ENSFALT00000000392"	0.1075	0.015	0.1392
"ENSFALG00000000381"	"ENSFALT00000000394"	0.014	0.0043	0.3052
"ENSFALG00000000352"	"ENSFALT00000000395"	0.0289	0.0028	0.0967
"ENSFALG00000000385"	"ENSFALT00000000396"	1e-04	0	0
"ENSFALG00000000387"	"ENSFALT00000000398"	0.4667	0.0316	0.0676
"ENSFALG00000000388"	"ENSFALT00000000401"	0.1769	0.0156	0.088
"ENSFALG00000000392"	"ENSFALT00000000404"	1e-04	0	0.0519
"ENSFALG00000000382"	"ENSFALT00000000405"	0.2355	0.0224	0.0951
"ENSFALG00000000393"	"ENSFALT00000000406"	999	0.0156	0
"ENSFALG00000000394"	"ENSFALT00000000407"	0.2126	0.0184	0.0867
"ENSFALG00000000396"	"ENSFALT00000000409"	0.0181	0.0044	0.2426
"ENSFALG00000000400"	"ENSFALT00000000412"	0.2526	0.0126	0.0501
"ENSFALG00000000402"	"ENSFALT00000000414"	0.1056	0.0163	0.1546
"ENSFALG00000000398"	"ENSFALT00000000415"	0.1382	0.0302	0.2187
"ENSFALG00000000395"	"ENSFALT00000000416"	0.2152	0.0203	0.0945
"ENSFALG00000000403"	"ENSFALT00000000417"	1e-04	0	0.0242
"ENSFALG00000000405"	"ENSFALT00000000420"	0.0734	0.0263	0.3579
"ENSFALG00000000410"	"ENSFALT00000000424"	0.0648	0.007	0.1087
"ENSFALG00000000415"	"ENSFALT00000000430"	0.0446	0.0036	0.0798
"ENSFALG00000000420"	"ENSFALT00000000432"	0.0639	0.0075	0.1177
"ENSFALG00000000422"	"ENSFALT00000000434"	0.0995	0.0348	0.35
"ENSFALG00000000404"	"ENSFALT00000000435"	0.1914	0.0236	0.1233
"ENSFALG00000000425"	"ENSFALT00000000440"	0.0809	0.0103	0.1273
"ENSFALG00000000413"	"ENSFALT00000000446"	0.0702	0.0068	0.0972
"ENSFALG00000000435"	"ENSFALT00000000447"	0.0837	0.0325	0.3887
"ENSFALG00000000434"	"ENSFALT00000000448"	0.4495	0.0249	0.0553
"ENSFALG00000000431"	"ENSFALT00000000449"	0.0709	0.0055	0.0769
"ENSFALG00000000439"	"ENSFALT00000000450"	0.2149	0.0994	0.4624
"ENSFALG00000000441"	"ENSFALT00000000454"	0.0116	7e-04	0.0592
"ENSFALG00000000436"	"ENSFALT00000000456"	1e-04	0	0.0265
"ENSFALG00000000437"	"ENSFALT00000000457"	1e-04	0	0.0617
"ENSFALG00000000443"	"ENSFALT00000000458"	0.1316	0.0091	0.0692
"ENSFALG00000000446"	"ENSFALT00000000459"	0.5252	0.0176	0.0335
"ENSFALG00000000449"	"ENSFALT00000000460"	0.3231	0.016	0.0496
"ENSFALG00000000447"	"ENSFALT00000000461"	0.0743	0.0118	0.1587
"ENSFALG00000000444"	"ENSFALT00000000465"	0.0439	0.0056	0.1267
"ENSFALG00000000452"	"ENSFALT00000000467"	0.3145	0.0142	0.045
"ENSFALG00000000454"	"ENSFALT00000000468"	0.7064	0.1032	0.1461
"ENSFALG00000000456"	"ENSFALT00000000471"	0.4004	0.0269	0.0673
"ENSFALG00000000461"	"ENSFALT00000000474"	0.0181	6e-04	0.0325
"ENSFALG00000000458"	"ENSFALT00000000476"	0.0991	0.0179	0.1809
"ENSFALG00000000457"	"ENSFALT00000000478"	1e-04	0	0.0044
"ENSFALG00000000464"	"ENSFALT00000000479"	0.0137	0.0015	0.1116
"ENSFALG00000000460"	"ENSFALT00000000480"	1e-04	0	0.0398
"ENSFALG00000000470"	"ENSFALT00000000484"	0.0925	0.0119	0.129
"ENSFALG00000000466"	"ENSFALT00000000487"	1.0222	0.0707	0.0692
"ENSFALG00000000474"	"ENSFALT00000000490"	0.044	0.0036	0.0827
"ENSFALG00000000477"	"ENSFALT00000000493"	0.0148	0.0025	0.1705
"ENSFALG00000000469"	"ENSFALT00000000498"	0.2323	0.008	0.0344
"ENSFALG00000000481"	"ENSFALT00000000501"	0.089	0.0133	0.1493
"ENSFALG00000000486"	"ENSFALT00000000502"	0.0256	0.0017	0.0647
"ENSFALG00000000487"	"ENSFALT00000000503"	0.1373	0.0106	0.077
"ENSFALG00000000483"	"ENSFALT00000000504"	0.4354	0.0358	0.0822
"ENSFALG00000000489"	"ENSFALT00000000507"	0.2666	0.0052	0.0194
"ENSFALG00000000493"	"ENSFALT00000000510"	0.1264	0.0019	0.0148
"ENSFALG00000000491"	"ENSFALT00000000511"	0.0751	0.0043	0.0569
"ENSFALG00000000494"	"ENSFALT00000000512"	0.0757	0.011	0.1456
"ENSFALG00000000490"	"ENSFALT00000000513"	0.1192	0.013	0.1093
"ENSFALG00000000497"	"ENSFALT00000000514"	0.203	0.0248	0.1221
"ENSFALG00000000499"	"ENSFALT00000000515"	0.5889	0.0241	0.0409
"ENSFALG00000000496"	"ENSFALT00000000516"	0.0211	0.0022	0.1054
"ENSFALG00000000500"	"ENSFALT00000000517"	0.3304	0.0223	0.0674
"ENSFALG00000000495"	"ENSFALT00000000518"	1e-04	0	0.2816
"ENSFALG00000000503"	"ENSFALT00000000521"	0.0868	0.0074	0.0852
"ENSFALG00000000502"	"ENSFALT00000000522"	0.1158	0.0245	0.2117
"ENSFALG00000000504"	"ENSFALT00000000523"	0.0178	0.0022	0.1209
"ENSFALG00000000506"	"ENSFALT00000000524"	0.18	0.024	0.1334
"ENSFALG00000000505"	"ENSFALT00000000525"	1e-04	0	0.0887
"ENSFALG00000000508"	"ENSFALT00000000528"	0.1774	0.0116	0.0652
"ENSFALG00000000511"	"ENSFALT00000000529"	0.2799	0.0165	0.0588
"ENSFALG00000000512"	"ENSFALT00000000530"	1e-04	0	0.0082
"ENSFALG00000000514"	"ENSFALT00000000532"	0.0346	0.005	0.1447
"ENSFALG00000000516"	"ENSFALT00000000533"	0.0156	0.0018	0.1158
"ENSFALG00000000518"	"ENSFALT00000000534"	0.0617	0.0079	0.1282
"ENSFALG00000000517"	"ENSFALT00000000535"	0.0243	0.0024	0.098
"ENSFALG00000000519"	"ENSFALT00000000536"	0.0763	0.0069	0.0904
"ENSFALG00000000521"	"ENSFALT00000000538"	0.0321	0.0048	0.1483
"ENSFALG00000000522"	"ENSFALT00000000539"	0.134	0.0084	0.0623
"ENSFALG00000000523"	"ENSFALT00000000540"	0.0982	0.0059	0.0599
"ENSFALG00000000524"	"ENSFALT00000000541"	0.4015	0.0144	0.0359
"ENSFALG00000000525"	"ENSFALT00000000542"	0.2115	0.0342	0.1617
"ENSFALG00000000526"	"ENSFALT00000000543"	0.0561	0.0116	0.2076
"ENSFALG00000000515"	"ENSFALT00000000544"	0.0865	0.0054	0.0619
"ENSFALG00000000527"	"ENSFALT00000000545"	999	0.0163	0
"ENSFALG00000000528"	"ENSFALT00000000546"	0.2101	0.0188	0.0893
"ENSFALG00000000530"	"ENSFALT00000000548"	0.2017	0.0102	0.0507
"ENSFALG00000000513"	"ENSFALT00000000549"	0.0086	0.0016	0.1851
"ENSFALG00000000531"	"ENSFALT00000000551"	1e-04	0	0.1323
"ENSFALG00000000536"	"ENSFALT00000000555"	1e-04	0	0.098
"ENSFALG00000000532"	"ENSFALT00000000556"	0.0897	0.0078	0.0867
"ENSFALG00000000537"	"ENSFALT00000000557"	0.0109	0.0012	0.1136
"ENSFALG00000000538"	"ENSFALT00000000558"	1e-04	0	0.2249
"ENSFALG00000000539"	"ENSFALT00000000559"	0.0387	0.0081	0.2085
"ENSFALG00000000542"	"ENSFALT00000000561"	0.0585	0.0096	0.1635
"ENSFALG00000000540"	"ENSFALT00000000564"	0.3323	0.2511	0.7557
"ENSFALG00000000543"	"ENSFALT00000000565"	0.0252	0.0021	0.0847
"ENSFALG00000000545"	"ENSFALT00000000568"	0.0753	0.0142	0.189
"ENSFALG00000000548"	"ENSFALT00000000570"	0.0094	0.0016	0.1667
"ENSFALG00000000541"	"ENSFALT00000000573"	0.0394	0.0021	0.0538
"ENSFALG00000000550"	"ENSFALT00000000575"	0.3572	0.0592	0.1656
"ENSFALG00000000552"	"ENSFALT00000000576"	0.1289	0.018	0.1394
"ENSFALG00000000553"	"ENSFALT00000000577"	0.0605	0.0054	0.0888
"ENSFALG00000000544"	"ENSFALT00000000578"	0.3794	0.0122	0.0322
"ENSFALG00000000554"	"ENSFALT00000000579"	0.3896	0.0284	0.0729
"ENSFALG00000000555"	"ENSFALT00000000580"	0.0509	0.0035	0.0678
"ENSFALG00000000557"	"ENSFALT00000000581"	0.0435	0.004	0.0921
"ENSFALG00000000556"	"ENSFALT00000000582"	1.1022	0.0584	0.053
"ENSFALG00000000561"	"ENSFALT00000000584"	1.2515	0.025	0.02
"ENSFALG00000000563"	"ENSFALT00000000586"	0.0855	0.0125	0.1462
"ENSFALG00000000562"	"ENSFALT00000000587"	0.1912	0.0136	0.0711
"ENSFALG00000000564"	"ENSFALT00000000588"	0.1991	0.0093	0.0469
"ENSFALG00000000565"	"ENSFALT00000000590"	0.0641	0.0058	0.0906
"ENSFALG00000000567"	"ENSFALT00000000592"	0.0264	0.0033	0.1235
"ENSFALG00000000568"	"ENSFALT00000000593"	0.3547	0.0144	0.0406
"ENSFALG00000000570"	"ENSFALT00000000594"	0.0581	0.0026	0.0441
"ENSFALG00000000569"	"ENSFALT00000000595"	0.0534	0.0094	0.1756
"ENSFALG00000000572"	"ENSFALT00000000596"	0.0158	0.0062	0.3956
"ENSFALG00000000573"	"ENSFALT00000000597"	0.1864	0.0435	0.2335
"ENSFALG00000000571"	"ENSFALT00000000598"	0.2195	0.0051	0.0234
"ENSFALG00000000574"	"ENSFALT00000000599"	0.8137	0.016	0.0197
"ENSFALG00000000580"	"ENSFALT00000000605"	1e-04	0	0.0591
"ENSFALG00000000581"	"ENSFALT00000000606"	0.2463	0.0152	0.0616
"ENSFALG00000000576"	"ENSFALT00000000607"	0.1001	0.0261	0.2602
"ENSFALG00000000582"	"ENSFALT00000000608"	0.0156	0.0019	0.1244
"ENSFALG00000000583"	"ENSFALT00000000609"	1e-04	0	0.0892
"ENSFALG00000000586"	"ENSFALT00000000611"	0.0517	0.0076	0.1469
"ENSFALG00000000584"	"ENSFALT00000000612"	0.1001	0.0076	0.0757
"ENSFALG00000000588"	"ENSFALT00000000613"	0.1563	0.014	0.0895
"ENSFALG00000000587"	"ENSFALT00000000614"	0.1195	0.0023	0.019
"ENSFALG00000000591"	"ENSFALT00000000616"	0.1055	0.0114	0.1076
"ENSFALG00000000592"	"ENSFALT00000000617"	0.028	0.0039	0.1411
"ENSFALG00000000597"	"ENSFALT00000000620"	0.1329	0.0179	0.135
"ENSFALG00000000598"	"ENSFALT00000000621"	762.9933	0.0033	0
"ENSFALG00000000599"	"ENSFALT00000000622"	1e-04	0	0.0809
"ENSFALG00000000596"	"ENSFALT00000000623"	0.0651	0.0189	0.2898
"ENSFALG00000000600"	"ENSFALT00000000624"	0.037	0.0026	0.0704
"ENSFALG00000000603"	"ENSFALT00000000626"	0.0475	0.0029	0.0621
"ENSFALG00000000604"	"ENSFALT00000000628"	0.8666	0.0159	0.0183
