,X2,gene_name,V2
325,ENSFALG00000000352,CNTN2,CNTN2
326,ENSFALG00000000352,CNTN2,CNTN2
327,ENSFALG00000000353,ARHGAP42,ARHGAP42
328,ENSFALG00000000354,Pgr,PGR
329,ENSFALG00000000355,MROH1,ENSFALG00000000355
330,ENSFALG00000000356,TRPC6,TRPC6
331,ENSFALG00000000357,ANGPTL5,ANGPTL5
332,ENSFALG00000000358,CEP126,CEP126
333,ENSFALG00000000359,KRT222,ENSFALG00000000359
334,ENSFALG00000000360,BOP1,BOP1
335,ENSFALG00000000361,CFAP300,CFAP300
336,ENSFALG00000000362,SMARCE1,SMARCE1
337,ENSFALG00000000363,HMGN2,ENSFALG00000000363
338,ENSFALG00000000364,YAP1,YAP1
339,ENSFALG00000000366,SCX,SCX
340,ENSFALG00000000367,DHDDS,DHDDS
341,ENSFALG00000000369,HSF1,ENSFALG00000000369
342,ENSFALG00000000370,BIRC2,ENSFALG00000000370
343,ENSFALG00000000371,Tmem123,TMEM123
344,ENSFALG00000000372,MMP7,ENSFALG00000000372
345,ENSFALG00000000373,Ccr7,CCR7
346,ENSFALG00000000374,Lin28a,LIN28A
347,ENSFALG00000000375,MMP27,MMP27
348,ENSFALG00000000376,STAT6,STAT6
349,ENSFALG00000000377,C23H1orf232,ENSFALG00000000377
350,ENSFALG00000000378,Nab2,NAB2
351,ENSFALG00000000379,TNS4,TNS4
352,ENSFALG00000000380,Crybg2,ENSFALG00000000380
353,ENSFALG00000000381,IGFBP4,IGFBP4
354,ENSFALG00000000382,MMP1,MMP1
355,ENSFALG00000000383,UBXN11,UBXN11
356,ENSFALG00000000384,NEMP1,NEMP1
357,ENSFALG00000000385,Sh3bgrl3,SH3BGRL3
358,ENSFALG00000000387,CEP85,CEP85
359,ENSFALG00000000388,NFASC,NFASC
360,ENSFALG00000000389,TOP2A,TOP2A
361,ENSFALG00000000390,CNKSR1,CNKSR1
362,ENSFALG00000000391,GJD3,GJD3
363,ENSFALG00000000392,RARA,RARA
364,ENSFALG00000000393,CDC6,CDC6
365,ENSFALG00000000394,Mmp3,ENSFALG00000000394
366,ENSFALG00000000395,Mdm4,MDM4
367,ENSFALG00000000396,ZNF593,ZNF593
368,ENSFALG00000000397,Mmp10,ENSFALG00000000397
369,ENSFALG00000000398,Wipf2,WIPF2
370,ENSFALG00000000399,Fam110d,FAM110D
371,ENSFALG00000000400,MMP13,MMP13
372,ENSFALG00000000401,Ppp2r1a,ENSFALG00000000401
373,ENSFALG00000000402,PDIK1L,PDIK1L
374,ENSFALG00000000403,Dcun1d5,DCUN1D5
375,ENSFALG00000000404,MYO1A,MYO1A
376,ENSFALG00000000405,TRIM63,TRIM63
377,ENSFALG00000000406,Rapgefl1,RAPGEFL1
378,ENSFALG00000000407,Dync2h1,ENSFALG00000000407
379,ENSFALG00000000408,DYNC2H1,ENSFALG00000000408
380,ENSFALG00000000409,DYNC2H1,ENSFALG00000000409
381,ENSFALG00000000410,SLC30A2,SLC30A2
382,ENSFALG00000000411,DYNC2H1,ENSFALG00000000411
383,ENSFALG00000000412,CASC3,CASC3
384,ENSFALG00000000413,PIK3C2B,PIK3C2B
385,ENSFALG00000000414,Ext1c,ENSFALG00000000414
386,ENSFALG00000000415,PDGFD,PDGFD
387,ENSFALG00000000416,Ell2,ENSFALG00000000416
388,ENSFALG00000000417,PAFAH2,PAFAH2
389,ENSFALG00000000419,STMN1,STMN1
390,ENSFALG00000000420,MSL1,MSL1
391,ENSFALG00000000421,PAQR7,PAQR7
392,ENSFALG00000000422,MTFR1L,MTFR1L
393,ENSFALG00000000423,Rdh16,ENSFALG00000000423
394,ENSFALG00000000424,NR1D1,NR1D1
395,ENSFALG00000000425,Selenon,ENSFALG00000000425
396,ENSFALG00000000426,Rdh2,ENSFALG00000000426
397,ENSFALG00000000427,Prim1,ENSFALG00000000427
398,ENSFALG00000000430,NACA,ENSFALG00000000430
399,ENSFALG00000000431,GRIA4,GRIA4
400,ENSFALG00000000431,Gria4,GRIA4
401,ENSFALG00000000432,PTGES3,PTGES3
402,ENSFALG00000000433,THRA,THRA
403,ENSFALG00000000434,MAN1C1,MAN1C1
404,ENSFALG00000000435,PPP1R15B,PPP1R15B
405,ENSFALG00000000436,ATP5B,ATP5F1B
406,ENSFALG00000000437,MED24,MED24
407,ENSFALG00000000438,PLEKHA6,PLEKHA6
408,ENSFALG00000000439,Ldlrap1,LDLRAP1
409,ENSFALG00000000440,Msantd4,MSANTD4
410,ENSFALG00000000441,KBTBD3,KBTBD3
411,ENSFALG00000000442,GOLT1A,GOLT1A
412,ENSFALG00000000443,Aasdhppt,AASDHPPT
413,ENSFALG00000000444,MACO1,MACO1
414,ENSFALG00000000444,MACO1,MACO1
415,ENSFALG00000000445,BAZ2A,BAZ2A
416,ENSFALG00000000446,C11orf87,C11orf87
417,ENSFALG00000000447,CSF3,CSF3
418,ENSFALG00000000448,REN,REN
419,ENSFALG00000000449,DDX10,DDX10
420,ENSFALG00000000450,Exph5,ENSFALG00000000450
421,ENSFALG00000000451,Kdelc2,POGLUT3
422,ENSFALG00000000452,ATM,ATM
423,ENSFALG00000000453,TIMELESS,TIMELESS
424,ENSFALG00000000454,RHCE,ENSFALG00000000454
425,ENSFALG00000000455,TMEM50A,TMEM50A
426,ENSFALG00000000456,NPAT,NPAT
427,ENSFALG00000000457,PSMD3,PSMD3
428,ENSFALG00000000458,ETNK2,ETNK2
429,ENSFALG00000000459,ACAT1,ACAT1
430,ENSFALG00000000460,Syf2,SYF2
431,ENSFALG00000000461,CUL5,CUL5
432,ENSFALG00000000463,RAB39A,RAB39A
433,ENSFALG00000000464,PAN2,PAN2
434,ENSFALG00000000465,Rsrp1,ENSFALG00000000465
435,ENSFALG00000000466,Slc35f2,SLC35F2
436,ENSFALG00000000467,GSDMA,ENSFALG00000000467
437,ENSFALG00000000467,GSDMA,ENSFALG00000000467
438,ENSFALG00000000469,SOX13,SOX13
439,ENSFALG00000000470,RUNX3,RUNX3
440,ENSFALG00000000472,CLIC4,CLIC4
441,ENSFALG00000000473,GSDMA,ENSFALG00000000473
442,ENSFALG00000000474,ELMOD1,ELMOD1
443,ENSFALG00000000475,CNPY2,ENSFALG00000000475
444,ENSFALG00000000476,Srrm1,SRRM1
445,ENSFALG00000000476,SRRM1,SRRM1
446,ENSFALG00000000477,ORMDL3,ORMDL3
447,ENSFALG00000000478,ALKBH8,ALKBH8
448,ENSFALG00000000479,CWF19L2,CWF19L2
449,ENSFALG00000000480,NCMAP,NCMAP
450,ENSFALG00000000481,RCAN3,RCAN3
451,ENSFALG00000000482,VMO1,ENSFALG00000000482
452,ENSFALG00000000483,ZPBP2,ZPBP2
453,ENSFALG00000000483,ZPBP2,ZPBP2
454,ENSFALG00000000485,CS,CS
455,ENSFALG00000000486,GUCY1A2,GUCY1A2
456,ENSFALG00000000487,NIPAL3,NIPAL3
457,ENSFALG00000000488,SNRPE,ENSFALG00000000488
458,ENSFALG00000000489,IKZF3,IKZF3
459,ENSFALG00000000490,GRHL3,GRHL3
460,ENSFALG00000000491,ZC3H11A,ENSFALG00000000491
461,ENSFALG00000000492,COQ10A,COQ10A
462,ENSFALG00000000493,RDH8,ENSFALG00000000493
463,ENSFALG00000000494,C24H6orf132,ENSFALG00000000494
464,ENSFALG00000000495,GRB7,GRB7
465,ENSFALG00000000496,GUCA1A,ENSFALG00000000496
466,ENSFALG00000000497,Ifnlr1,ENSFALG00000000497
467,ENSFALG00000000498,CD37,ENSFALG00000000498
468,ENSFALG00000000499,IL22RA1,ENSFALG00000000499
469,ENSFALG00000000500,Myom3,MYOM3
470,ENSFALG00000000501,MIEN1,MIEN1
471,ENSFALG00000000502,GUCA1B,GUCA1B
472,ENSFALG00000000503,Fabp1,ENSFALG00000000503
473,ENSFALG00000000504,IRF6,IRF6
474,ENSFALG00000000505,SRSF10,SRSF10
475,ENSFALG00000000506,TRAF3IP3,TRAF3IP3
476,ENSFALG00000000507,HSD11B1,HSD11B1
477,ENSFALG00000000508,FUCA1,FUCA1
478,ENSFALG00000000509,SSBP1,ENSFALG00000000509
479,ENSFALG00000000510,LAMB3,LAMB3
480,ENSFALG00000000511,CREB3L2,CREB3L2
481,ENSFALG00000000512,HMGCL,HMGCL
482,ENSFALG00000000513,ERBB2,ERBB2
483,ENSFALG00000000513,ERBB2,ERBB2
484,ENSFALG00000000514,GALE,GALE
485,ENSFALG00000000515,Dgki,DGKI
486,ENSFALG00000000516,LYPLA2,LYPLA2
487,ENSFALG00000000517,Camk1g,CAMK1G
488,ENSFALG00000000518,Pithd1,PITHD1
489,ENSFALG00000000519,Eloa,ENSFALG00000000519
490,ENSFALG00000000520,RPL11,RPL11
491,ENSFALG00000000521,PLXNA2,PLXNA2
492,ENSFALG00000000522,PPT1,PPT1
493,ENSFALG00000000523,CAP1,CAP1
494,ENSFALG00000000524,MFSD2A,MFSD2A
495,ENSFALG00000000525,CD34,CD34
496,ENSFALG00000000526,MYCL,MYCL
497,ENSFALG00000000528,PTN,PTN
498,ENSFALG00000000529,C4bpa,ENSFALG00000000529
499,ENSFALG00000000530,CHRM2,CHRM2
500,ENSFALG00000000531,MTPN,MTPN
501,ENSFALG00000000532,Trit1,TRIT1
502,ENSFALG00000000534,FAM180A,FAM180A
503,ENSFALG00000000535,Pgap3,PGAP3
504,ENSFALG00000000536,PNMT,PNMT
505,ENSFALG00000000538,Hpcal4,HPCAL4
506,ENSFALG00000000539,NT5C1A,NT5C1A
507,ENSFALG00000000540,CR1,ENSFALG00000000540
508,ENSFALG00000000540,CR1,ENSFALG00000000540
509,ENSFALG00000000540,CR1,ENSFALG00000000540
510,ENSFALG00000000540,Cr1l,ENSFALG00000000540
511,ENSFALG00000000540,Cr1l,ENSFALG00000000540
512,ENSFALG00000000540,CR1L,ENSFALG00000000540
513,ENSFALG00000000541,STARD3,STARD3
514,ENSFALG00000000542,HEYL,HEYL
515,ENSFALG00000000543,PABPC4,PABPC4
516,ENSFALG00000000544,Slc13a4,SLC13A4
517,ENSFALG00000000545,PPIE,PPIE
518,ENSFALG00000000546,Cd55b,ENSFALG00000000546
519,ENSFALG00000000547,Bmp8a,ENSFALG00000000547
520,ENSFALG00000000548,PFKFB2,PFKFB2
521,ENSFALG00000000549,C1orf116,ENSFALG00000000549
522,ENSFALG00000000550,Pigr,ENSFALG00000000550
523,ENSFALG00000000551,PPP1R1B,PPP1R1B
524,ENSFALG00000000552,Neurod2,NEUROD2
525,ENSFALG00000000553,CDK12,CDK12
526,ENSFALG00000000554,Il20,IL19
527,ENSFALG00000000555,MED1,MED1
528,ENSFALG00000000556,Il10,IL10
529,ENSFALG00000000557,Fbxl20,FBXL20
530,ENSFALG00000000558,Rpl19,ENSFALG00000000558
531,ENSFALG00000000559,MACF1,MACF1
532,ENSFALG00000000560,MAPKAPK2,MAPKAPK2
533,ENSFALG00000000561,Cst7,CST7
534,ENSFALG00000000562,APMAP,APMAP
535,ENSFALG00000000562,APMAP,APMAP
536,ENSFALG00000000563,DYRK3,DYRK3
